User_ID,Trip_ID,Point_ID,Latitude,Longitude,Time,Date,Speed,Altitude,Speed_km/h,Latitude_WGS84,Longitude_WGS84,Distance,Time_Difference,Acceleration
Bullis1,001,36,60283278,15270653,12:58:35,09-06-2011,3710,-1,37.1,60.47213,15.451088333333333,0.19573327728169548,30.0,0.15555555555555553
Bullis1,001,37,60282761,15268113,12:59:05,09-06-2011,2070,-1,20.7,60.471268333333335,15.446855,0.25100484773627996,30.0,-0.15185185185185185
Bullis1,001,38,60282904,15266441,12:59:35,09-06-2011,2350,-1,23.5,60.47150666666667,15.444068333333334,0.15500095932517371,30.0,0.02592592592592592
Bullis1,001,39,60282852,15264881,13:00:05,09-06-2011,2390,-1,23.9,60.47142,15.441468333333333,0.14281382460096095,30.0,0.0037037037037036904
Bullis1,001,40,60284480,15263116,13:00:35,09-06-2011,4710,-1,47.1,60.474133333333334,15.438526666666666,0.34207558207107364,30.0,0.21481481481481485
Bullis1,001,41,60285694,15261023,13:01:05,09-06-2011,1850,-1,18.5,60.47615666666667,15.435038333333333,0.2952225483864845,30.0,-0.26481481481481484
Bullis1,001,42,60285867,15261944,13:01:35,09-06-2011,1280,-1,12.8,60.476445,15.436573333333333,0.09001374718193636,30.0,-0.05277777777777775
Bullis1,001,43,60285699,15261034,13:16:40,09-06-2011,1980,-1,19.8,60.476165,15.435056666666666,0.08874645286630177,905.0,0.0021485573971761814
Bullis1,001,44,60286025,15259680,13:17:10,09-06-2011,1210,-1,12.1,60.476708333333335,15.4328,0.13762373939391734,30.0,-0.07129629629629632
Bullis1,001,45,60286423,15259124,13:34:01,09-06-2011,2220,-1,22.2,60.47737166666667,15.431873333333334,0.08954659638586662,1011.0,0.0027750302231014396
Bullis1,001,46,60287265,15257405,13:34:31,09-06-2011,2390,-1,23.9,60.478775,15.429008333333334,0.22134148043061153,30.0,0.015740740740740743
Bullis1,001,47,60288157,15255904,13:35:02,09-06-2011,490,-1,4.9,60.480261666666664,15.426506666666667,0.21474222622315647,31.0,-0.17025089605734764
Bullis1,001,48,60287984,15257039,13:35:32,09-06-2011,2550,-1,25.5,60.479973333333334,15.428398333333334,0.10848746444715635,30.0,0.1907407407407407
Bullis1,001,49,60287015,15259509,13:36:02,09-06-2011,5880,-1,58.8,60.47835833333333,15.432515,0.28831066286798746,30.0,0.30833333333333335
Bullis1,001,50,60286578,15262288,13:36:33,09-06-2011,1950,-1,19.5,60.47763,15.437146666666667,0.2663882501526999,31.0,-0.3521505376344085
Bullis1,001,51,60287756,15260956,13:37:03,09-06-2011,3379,-1,33.79,60.479593333333334,15.434926666666666,0.24991163746258435,30.0,0.1323148148148148
Bullis1,001,52,60289335,15258557,13:38:03,09-06-2011,1210,-1,12.1,60.482225,15.430928333333334,0.3655371362285616,60.0,-0.10041666666666667
Bullis1,001,53,60290148,15260275,13:38:33,09-06-2011,2670,-1,26.7,60.48358,15.433791666666666,0.21750323852362002,30.0,0.13518518518518519
Bullis1,001,54,60290619,15260839,13:39:03,09-06-2011,1460,-1,14.6,60.484365,15.434731666666666,0.10134568662626317,30.0,-0.11203703703703702
Bullis1,001,55,60291197,15259701,13:39:33,09-06-2011,1560,-1,15.6,60.485328333333335,15.432835,0.1492298182260651,30.0,0.009259259259259255
Bullis1,001,56,60291635,15258264,13:40:04,09-06-2011,1550,-1,15.5,60.48605833333333,15.43044,0.15427688985889382,31.0,-0.0008960573476702478
Bullis1,001,57,60292043,15256854,13:40:34,09-06-2011,650,-1,6.5,60.486738333333335,15.42809,0.14929239013109696,30.0,-0.08333333333333333
Bullis1,001,58,60292481,15257229,13:41:08,09-06-2011,1400,-1,14.0,60.48746833333333,15.428715,0.08809659752306874,34.0,0.06127450980392156
Bullis1,001,59,60292927,15256905,13:59:00,09-06-2011,1520,-1,15.2,60.488211666666665,15.428175,0.08778802116136933,1072.0,0.00031094527363184095
Bullis1,001,60,60293237,15256021,13:59:31,09-06-2011,1650,-1,16.5,60.488728333333334,15.426701666666666,0.09906182727152853,31.0,0.011648745519713248
Bullis1,001,61,60292843,15255217,14:00:01,09-06-2011,70,-1,0.7,60.48807166666667,15.425361666666667,0.1035320654618708,30.0,-0.14629629629629629
Bullis1,001,62,60293130,15254485,14:11:28,09-06-2011,3660,-1,36.6,60.48855,15.424141666666667,0.08540839953313711,687.0,0.014515607310367135
Bullis1,001,63,60293939,15252536,14:11:59,09-06-2011,2150,-1,21.5,60.489898333333336,15.420893333333334,0.2326681229668812,31.0,-0.13530465949820786
Bullis1,001,64,60293101,15250191,14:12:29,09-06-2011,3990,-1,39.9,60.488501666666664,15.416985,0.2644723965758442,30.0,0.17037037037037034
Bullis1,001,65,60292631,15248928,14:13:00,09-06-2011,530,-1,5.3,60.48771833333333,15.41488,0.14450372629882832,31.0,-0.3100358422939068
Bullis1,001,66,60293292,15246797,14:13:30,09-06-2011,5990,-1,59.9,60.48882,15.411328333333334,0.229897221540924,30.0,0.5055555555555556
Bullis1,001,67,60294666,15244788,14:14:00,09-06-2011,1470,-1,14.7,60.49111,15.40798,0.3138045906860569,30.0,-0.41851851851851857
Bullis1,001,68,60293911,15245291,14:14:30,09-06-2011,2680,-1,26.8,60.48985166666667,15.408818333333333,0.14726168311036097,30.0,0.11203703703703706
Bullis1,001,69,60293003,15245791,14:15:00,09-06-2011,2090,-1,20.9,60.48833833333333,15.409651666666667,0.17435565334523703,30.0,-0.054629629629629646
